UM,REPORT
machinery and equipment,"At 2:00 p.m. on April 10, 2017, Employee #1 was sanding a rod while the rod was spinning on a lathe. The employee was wearing cotton gloves and using a cloth. The cotton glove got caught on the rod while it was spinning, pulling his right ring finger onto the spinning rod. The employee's right ring finger was amputated at the second knuckle. "
others,"At 2:30 p.m. on April 10, 2017, Employee #1 reached for a piece floating towards the valve. The valve closed, amputating his left middle finger. "
preexisting medical condition,"At approximately 2:15 p.m. on April 10, 2017, an employee was measuring the base area for next day's scaffold erection on the fifteenth floor terrace. The employee tapped the shoulder of a coworker and said the scaffolding looks good, then told the coworker that he didn't feel well and that his blood pressure felt high.  The coworker told the employee that they could leave early and told him to sit down on a metal plate in the shade with some water. The coworker went to tell two other coworkers that the employee was not feeling well and that they were going to wrap up and leave.  When the coworker walked back to the employee, the employee was on lying on the ground, pale in color, with white foam around his mouth.  The coworker called the emergency medical services and waved the other coworkers over.  The coworker proceeded with cardio pulmonary resuscitation until the General Contractor took over till first responders arrived.  The employee died from a heart attack as ruled by the Orange County Coroner. "
working at height,"At 1:45 p.m. on April 10, 2017, Employee #1 and Coworkers #1 and #2, employed by a construction company, were engaged in steel framing for a manufacturing plant.  Employee #1, working from an aerial lift approximately 4 feet above the ground, was assisting Coworker #1 to install steel door jams for overhead doors at the building's south docks.  Coworker #2, who was installing a 3 by 3 by 20 1/4-inch thick steel angle, was working from a second aerial lift approximately 30 to 40 feet above Employee #1.  Coworker #2 finished an initial tack weld and attempted to reposition his aerial lift.  The tack weld broke, and the steel member fell and struck Employee #1.  Emergency services were called, and Employee #1 was transported to the hospital.  She was admitted and treated for multiple fractures of the vertebrae, clavicle, and ribs. "
machinery and equipment,"At 1:20 a.m. on April 10, 2017, Employee #1 was cleaning and sanitizing an Idaho Steel extruding machine. The machine was energized and running while the employee attempted to remove material caught in the machine. As he reached in, his left hand was caught in an ingoing nip point, resulting in the partial amputation of the left middle and ring fingers. "
machinery and equipment,"At 1:15 a.m. on April 10, 2017, Employee #1 was cutting a metal piece with a horizontal band saw.The employee was wearing gloves and adjusting the clamp. While he was holding the piece, he sneezed and his left hand went into the running saw blade. Employee #1's thumb was amputated by the saw blade. saw blade. Employee #1's thumb was amputated by the saw blade."
exposure to harmful substance,"At 1:13 p.m. on April 10, 2017, Employee #1 was filling the quadrant ladle with iron from the holding ladle. The machine was in-between cycles, and the trough was not in the upright position. The quadrant ladle became overfilled, causing iron to pour out of the front of the quadrant ladle, missing the trough and burning Employee#1's feet. The employee was hospitalized for his injuries. "
handling heavy/sharp object/material,"At 1:00 p.m. on April 10, 2017, Employee #1 was involved in cable logging operations.The employee was struck in the head by a log, and sustained a head injury. "
exposure to harmful substance,"At 1:30 p.m. on April 10, 2017, Employee #1 was using a high speed mixer to mix hair care products. The employee sustained burns to his upper torso and face when the hot liquids from the mixer struck him on his upper torso and face. Employee #1 was hospitalized for second degree burns to his back, arms, and face. "
machinery and equipment,"At 1:45 p.m. on April 10, 2017, Employee #1 was cleaning the excess dough off of the machine rollers. The employee's left hand became caught in the rollers and caused a skin laceration. The employee was hospitalized for the injury. "
working at height,"On April 9, 2017, an employee was framing a wall in a horizontal position prior to tipping up. Earlier, a coworker had cut a hole for a window which happened to be directly above the opening in the deck for the stair to the basement. The employee stepped on the window cutout and he and the cutout fell to the cement floor below. The employee suffered blunt force trauma to the head/neck area and was killed. "
machinery and equipment,"At 8:00 p.m. on April 9, 2017, Employee #1 was bringing pans across the floor to wash. The filter machine was full of hot oil and the employee stepped in the hot oil that had been left on floor. Employee #1 sustained second degree burns to his right foot and was hospitalized for his injuries. "
machinery and equipment,"At 7:38 a.m. on April 9, 2017, Employee #1 was performing normal production work using an abrasive wheel saw. The abrasive wheel saw's counter weight broke, and the saw came down on the employee's hand, amputating three of his fingers. "
handling heavy/sharp object/material,"At 7:20 p.m. on April 9, 2017, Employee #1 was offloading a heavy pallet from a plane using a hand truck. While transferring the pallet to the hand truck, the employee's middle finger of his left hand was pinned between the hand truck and the pallet, fracturing it. Employee #1 was hospitalized for his injury. "
heavy vehicle,"At approximately 10:00 a.m. on February 21, 2017, an employee, who had just completed inspecting parts at a table behind Press Number 23, left the area and started walking toward the entrance to the shipping department. While walking from the shipping department, the employee was struck by the right front tire of a high-low fork truck. The employee sustained a crushing injury to his right foot and needed reconstructive surgery to repair the damage to his right elbow resulting in a four night hospitalization. "
machinery and equipment,"At 1:30 p.m. on April 9, 2017, Employee #1, a Gram Filler Operator, was conducting production line cleaning and inspection operations. The employee reached into the pneumatic driven Sudmo valve 4326 to clear out a suspected food allergen. An air blow initiated at the same time, causing the orbital valve to cycle and trap the employee's left hand. The employee was under the impression that the valves were locked out because the Gram Filler had been effectively locked out. However, the filler and valves have independent sources of hazardous energy. Employee #1 sustained a four inch laceration across the palm of her left hand and was transported to a local hospital for evaluation and treatment. "
machinery and equipment,"At 1:45 p.m. on April 9, 2017, Employee #1 was cutting pork loins using a band saw. The employee's hand struck against the blade, cutting off the tip of his right pointer finger. "
machinery and equipment,"At 12:30 p.m. on April 8, 2017, Employee #1, a press brake operator, and a coworker were both bending a metal part: Shell, Cover, UDM, #Arxium P/N 10-501104-000A (Trend P/N 105990), on the Cincinnati 90 Ton Press D42, Serial #52287, using a foot pedal.  The employee and the coworker would hold one end of the part and make a total of eight different bends until it was the intended shape of a metal box.  After their lunch break, Employee #1 and the coworker started on a new box, but noticed that one of the corners of the box was not shaped the way it was designed.  When this happened, the press brake operators would make various holding adjustments and switch sides.  The two switched sides, but Employee #1 did not notice that on the new side, his arm was now positioned underneath the die of the press brake.  When the foot pedal was activated, Employee #1s right arm was caught and pinched underneath the die, crushing his forearm, and causing multiple fractures, as well as tissue and nerve damage. Employee #1 was hospitalized for his injuries. "
working at height,"At 11:10 p.m. on April 8, 2017, Employee #1 heard someone screaming. The screaming was coming from outside of the building where the employee worked. The employee ran up a flight of concrete stairs to find out what was happening and provide assistance to the person in distress.  As the employee was running up the stairs, she stumbled and fell onto both of her knees. Employee #1 sustained severe injuries to both of her knees. "
machinery and equipment,"At 11:15 a.m. on April 8, 2017, Employee #1, employed by a construction contractor, was engaged in installing a water pipe at a multifamily residential construction project.  He initially was operating an excavator. Employee #1 climbed down from the excavation to cut a 10-inch water pipe.  He used a Stihl Cut-off Saw, Model Number T5420.  The saw kicked back and struck Employee #1's face.  Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for facial lacerations that extended from underneath his left eye down to underneath his jaw. "
working at height,"At 11:15 a.m. on April 8, 2017, Employee #1, employed by a concrete castings producer, was performing a concrete baluster installation at a residential building.  He first removed the concrete balusters from a bedroom balcony in preparation for resetting them.  Employee #1 then walked into the bedroom. When he returned to the balcony, he fell off the edge.  Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for a fractured left wrist, a fractured right leg, and abrasions. The subsequent investigation indicated Employee #1 may have tripped over the balusters before falling. "
heavy vehicle,"At 11:00 a.m. on April 8, 2017, Employee #1 was operating a Stock Picker Crown Truck, Model 48, Type E, Serial number 1A178734, loading boxed bed frames onto the picker from aisle 67C. The boxed bed frames were 6.5 feet long by 8 inches wide.The Crown Stock Picker uses a wire guidance system built into the powered industrial truck. When starting to exit the aisle, the Crown Stock Picker's guidance system turned off and jerked the Crown Stock Picker to the left. With the guidance system off, the bed frame box hit the pallet rack, and the boxed bed frame pushed back into the employees right leg. The employee sustained an open fracture wound to both bones in the lower half of his right leg. "
others,"At 9:00 a.m. on April 8, 2017, Employee #1 was taking a horse for an exercise ride. As the employee  entered the racetrack area, the horse became startled, began to buck, and fell over. Employee #1 fell to the ground, fracturing his left hand and rupturing his ligaments. "
machinery and equipment,"At approximately 8:45 a.m. on April 8, 2017, an employee was tearing boards off the walls of the garage with a hammer. The roof of the garage fell onto the employee and struck his head. The employee was killed. "
machinery and equipment,"At 8:00 a.m. on April 8, 2017, Employee #1, a treatment plant operator, arrived for weekend duty to find that the chlorine contact chamber was getting ""clouded with sludge"". The employee checked the Supervisory Control and Data Acquisition (SCADA) system to find that the RS-1 pump was not operating. The employee began troubleshooting the pump issue by placing the pump in manual at the Allen Bradley 1336 Plus Variable Frequency Drive (VFD) Control, located in the RAS Building and shutting it down. The employee went to the pump to investigate. Employee #1 engaged the emergency stop button for the pump, removed the cover, and pulled on the belt a few times, thinking that there was a possible blockage. He pulled on the NAPA BX56 cogged belt to help remove the blockage until the belt moved easier. The operator then reset the emergency stop and placed the VFD control in auto. The pump started back up and then shut down. The employee left the VFD control in the auto position and went back to the pump. The employee stated that when he got back to the pump, he did not engage the emergency stop to troubleshoot. Employee #1 again pulled on the belt, at which time the pump started, pulling his right ring finger into the ingoing nip of the belt and the four inch motor pulley. The employee was wearing Rough Rider leather insulated gloves and pulled his hand away from the belt and pulley as soon as the pump started running.  The employees right ring finger was pulled into the ingoing nip of the pulley and belt, fracturing his distal phalanges and injuring the tendon. "
working at height,"At approximately 7:00 a.m. on April 8, 2017, an employee was part of the crew rigging a large control unit from an upper work platform.  The employee fell 20-25 ft. from the platform to the surface below suffering head injuries. The employee was killed. "
heavy vehicle,"At approximately 7:50 a.m. on April 8, 2017, an employee was checking the contents inside the semi-trailer. The employee was struck and run over by a 18 wheeler semi-trailer. The employee suffered blunt force trauma and was killed. "
handling heavy/sharp object/material,"At 6:08 p.m. on April 8, 2017, Employee #1 was helping his coworker remove the wheel assembly and tire off of a tractor. The tire fell off of the forks onto his right foot and amputated his big toe and part of his second toe. "
handling heavy/sharp object/material,"At 6:50 p.m. on April 8, 2017, Employee #1, a turbine mechanic, and a coworker were attempting to reposition a load on a long flatbed truck. The load consisted of a combustor and a stand that weighed approximate 26,500 pounds. The coworker tried to release a lever style chain binder by hand, but that attempt was unsuccessful. On the second attempt, the coworker used an improvised tool, a cheater pipe that was 19.24 inches long and weighed eight pounds, as a handle extender. The coworker told Employee #1 to clear the area, and then proceeded to release the lever. The employee stood several feet away, believing that he was a safe distance. Kinetic energy was transferred from the chain binder lever to the cheater pipe, which became a projectile, striking Employee #1 on the left side of the face. The employee sustained facial fractures from the flying cheater pipe. "
entangled work space,"At approximately 2:33 a.m. on April 8, 2017, an employee, a dozer operator on the night shift, was standing on a wood chip pile next to where the chips are pulled down onto a drag chain conveyor several feet below the surface of the wood chips.  The employee was standing next to the edge of a cone shaped depression in the wood chips that was formed when the chips were pulled down onto the drag chain.  The area of the chips where he was standing gave away and he was pulled down under the chip pile.  The employee's body was pulled onto the conveyor system leading to a screening operation.  The employee's body travelled along several conveyors until it was eventually ejected through a chute to a scrap pile outside the building.  The employee was found a couple of hours after the incident. The employee suffered body trauma and was suffocated. "
exposure to harmful substance,"At 1:00 p.m. on April 8, 2017, Employee #1 was conducting maintenance on a propane truck. There was an explosion and fire and the employee was burned on 80 percent of his body. The employee was hospitalized for his injuries. "
machinery and equipment,"At 12:00 p.m. on April 7, 2017, Employee #1, employed by an excavation company, was installing culverts along a road.  He was laying waterproofing on a culvert when he tried to jump across the culvert instead of walking around it.  Employee #1 fell to the culvert's concrete surface, a fall height of 5 feet.  Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for fractures to his tibia and fibula. "
working at height,"At approximately 11:00 a.m. on April 7, 2017, an employee was painting from an unguarded scaffold. The employee fell 12 feet and suffered a head injury. The employee was killed. "
machinery and equipment,"At approximately 10:00 a.m. on April 7, 2017, an employee was using an impact wrench just before the accident.  Employee was under the part affixed to the fixture when two welded studs holding it to the support arms broke. The 3,000 pound part fell atop the employee working beneath it.  At the time of the accident, the positioner arms were inverted so that the part was upside down, and was supported solely by the two butt welded bolts. The employee was crushed and killed. "
entangled work space,"At approximately 10:00 a.m. on April 7, 2017, employees tasked to sea lion counts (enumeration run) had just completed the task and were returning to their original boat launch site. A 26-feet tuff boat capsized as a wave came over the bow swamping the boat causing it to roll and sink with all four occupants located in the cabin. All members were able to escape the cabin and emerge. However, Employee #1 drowned and Employee #2 was hospitalized. Life jackets (PFD's) were worn by all crew members. "
machinery and equipment,"At 9:10 a.m. on April 7, 2017, Employee #1 and Coworker #1, employed by a manufacturer of concrete pipe and other precast products, were engaged in precast work.  Employee #1 was removing a concrete mold.  He was attempting to place a brace under the concrete precast when Coworker #1, a machine operator, lowered the precast.  The precast struck Employee #1's hand.  Emergency services were called, and Employee #1 was transported to the hospital.  He was treated for the partial amputation of two fingers.  During the subsequent investigation, a factor in the incident was identified as lack of communication between the machine operator and the workers on the ground. "
machinery and equipment,"At 5:30 p.m. on April 7, 2017, Employee #1 was adjusting the spacer on a coil splitter. The employee's arm became caught between the hold down arm and the roll. Employee#1 sustained a fractured arm, and was hospitalized for his injury. "
machinery and equipment,"At 5:00 p.m. on April 7, 2017, Employee #1 was holding a sheet metal part within two inches of the end of the work piece, while placing it in the Cincinnati Press Brake #6. As the employee stepped on the foot pedal, his right index finger tip was amputated by the press brake. "
machinery and equipment,"At 4:30 a.m. on April 7, 2017, Employee #1 and Coworker #1, employed by a construction company, were engaged in decking work at a manufacturing plant. Employee #1 was working from an unguarded catwalk and attempting to help Coworker #1 pull in some decking material from an unguarded opening on the second floor.  Employee #1 fell from the catwalk to the ground, a fall height of approximately 14 feet.  Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for a fractured skull and other bone fractures. "
entangled work space,"At approximately 3:45 a.m. on April 7, 2017, an employee was in the process of dismantling a controlled work zone. The employee was struck by a motor vehicle that entered the work zone driven by an impaired driver. The employee was killed. Three other employees were also injured. Two of the three injured employees were hospitalized. 	 "
working at height,"At 3:00 p.m. on April 7, 2017, Employee #1 was working from a ladder, performing demolition work. The employee was removing ceiling tile materials and fell from the ladder. The employee sustained injuries to his back in the fall and was hospitalized. "
machinery and equipment,"At 2:10 p.m. on April 7, 2017, Employee #1 was positioned in a bucket, which was attached to a skid steer, and lifted approximately seven feet. The employee was connecting electricity to a fan motor from the bucket. The bucket tilted and Employee #1 fell, fracturing his shoulder blades and ribs. "
machinery and equipment,"At 1:15 p.m. on April 7, 2017, Employee #1 and Coworker #1, employed by a construction subcontractor, were working at a new residential construction project.  Employee #1 was using a 28-foot Werner extension ladder to reach and repair interior crown molding near the entryway ceiling.  He was working at a height of approximately 16 feet.  Coworker #1, the supervisor, was standing at the foot of the ladder and holding onto it.  The ladder was set on top of a dropcloth and extended at an extreme angle over the area where stairs were to be installed.  Employee #1 was climbing down the ladder when Coworker #1 let go of the ladder.  The ladder slipped, and Employee #1 fell.  Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for knee and leg fractures and a shoulder dislocation. "
machinery and equipment,"On April 6, 2017, an employee was operating a bulldozer crushing and moving garbage. The employee fell out of operator's cabin of bulldozer as it was moving sharply downhill. The employee was crushed and suffered blunt force trauma to hips and legs. The employee was killed by heavy equipment, either by tracks of his dozer, or wheels of loader working nearby. There was no evidence of the employee wearing a seatbelt. "
exposure to extreme temperature,"On April 6, 2017, an employee was walking outside from one building to another to pick up materials. The weather was dark, rainy, and windy. A forklift operator was driving between buildings to pick up materials when he struck the employee. The employee was killed. "
working at height,"At approximately 11:14 a.m. on April 6, 2017, an employee was using a bucket truck to take down a tree limb. The tree limb fell the wrong way and struck the employee. The employee was killed. "
machinery and equipment,"At approximately 9:48 a.m. on April 6, 2017, an employee was assisting a coworker to relocate a load of steel sheets that weighed approximately 1,400 pounds to a staging area where a forklift could take it away.  The employee attempted to move a table that was blocking the final resting place of the load. The employee walked under the raised load of metal and the load fell and crushed the employee to death. The raised load was hoisted by two canvas slings attached to four hooks.  One loop of one of the slings was not seated in the throat of the hook and slipped from the hook and fell as the employee was under the load. "
handling heavy/sharp object/material,"At approximately 8:00 a.m. on April 6, 2017, an employee was rolling up straps on the trailer. Materials fell off of the flatbed trailer and struck the employee. The employee suffered massive trauma to the head and chest area and was killed. "
machinery and equipment,"At 3:00 p.m. on April 6, 2017, Employee #1, employed by a supplier of rotating equipment, was engaged in the demolition of a foundation at a construction worksite.  He was operating a jackhammer when he dropped the machine, overreached to catch it, and fell.  Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for fractured vertebrae. "
handling heavy/sharp object/material,"At approximately 1:00 p.m. on April 6, 2017, an employee was engaged in moving a truss web scaffold.  The truss web scaffold was a four level scaffold attached to the side of the San Francisco Bay Bridge. A tugger motor was used to move the scaffold.  The movement speed of the operation was approximately walking speed. The employee had gloves on both hands. The employee was using the left hand to guide the wire into the tugger motor. The left gloved hand got pulled in by the wire.  The employee's left hand fingers got pinned by the wire against the tugger motor spool.  The employee was operating the tugger motor with the right hand.  The employee released the tugger motor control. The tugger failed to stop and continued to operate.  The employee used the right hand to pull the wire in an attempt to release the left hand.  The employee's right hand finger got pinched by the wire and the spool of the tugger motor.  The employee pulled the right hand out.  The right hand glove with the amputated right middle finger fell into the bay.  The employee suffered an amputated right middle finger, lacerations to right ring and index fingers, crushed left index, middle and ring fingers. The employee was hospitalized and treated for his injuries.	 "
working at height,"On two occasions Employee #1 and Employee #2, employed by a construction company, were working at a commercial building under renovation.  In the first incident, on March 18, 2017, Employee #1 was conducting a walk through of a building unit prior to installation of cabinets.  Employee #1 lifted a board from the floor and fell through an opening that the board was covering and down to a concrete subfloor, a fall height of 4 feet.  In the second incident, on April 13, 2017, Employee #2 was sweeping up trash and other debris from an area where the building's trash compactor was scheduled to be installed.  The employee stepped back and fell through a floor opening not covered by a floor board, a fall height of approximately 10 feet.  In both incidents, the injured employee was transported to the hospital and treated for bruising, muscle strains, and lacerations.  During the subsequent investigations, it was determined that the work zones were poorly lighted, and the floor openings were poorly marked and not properly secured. "
machinery and equipment,"At approximately 11:45 p.m. on April 5, 2017, an employee was a part of the sanitation crew that was cleaning and sanitizing the machines at the facility. The crew consisted of four crew members and one supervisor.  The supervisor was on site when the accident occurred. The employee was in the process of cleaning and sanitizing the Leek Processing Machine at that facility.  The machine was operating, and he was using a hose to spray the moving machine components.  During this process, he reached into the machine and his clothing became entangled by its rotating components. As his clothing was drawn into the Leek Processing Machine, his arm was broken.  When his clothing tightened around him, he was asphyxiated. The employee's body was transported from the scene by the coroner.  Even though the members of the Sanitation Crew were regularly near the moving components of the operating machines, no control of hazardous energy or Lockout/Tagout procedure was available for the Sanitation Crew. "
machinery and equipment,"At approximately 10:30 a.m. on April 5, 2017, an employee was climbing a vertical ladder to access a scaffold platform. The employee fell 60 feet to a lower platform walkway and was not tied off.  The employee sustained a concussion and broken bones. The employee was killed. "
working at height,"At 3:20 p.m. on April 5, 2017, Employee #1, employed by a roofing company, was working at a residential building site.  He was on the roof and walking on unsecured roofing felt when he slipped and fell, a fall height of 11 feet. Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for a fractured ankle. "
machinery and equipment,"At approximately 1:00 p.m. on April 5, 32017, an employee was preparing to unload trash from the garbage truck. However, his misjudged situation and was pinned by the compactor plate. The employee was crushed and killed by solid waste compactor. "
machinery and equipment,"At 1:00 p.m. on April 5, 2017, Employee #1, employed by a construction contractor, was engaged in a sewer line removal and replacement operation.  He was returning to work after a lunch break.  As he stood at the edge of the excavated trench, an unsupported walkway collapsed.  Employee #1 was thrown into the trench by the collapsing walkway, which measured approximately 6 feet long by 4 feet wide by 4 inches thick. The walkway was composed of flagstone and concrete, and weighed approximately 1,224 pounds.  He was struck and pinned in the trench by the collapsed walkway.  Emergency services were called, and they freed Employee #1 from the excavation and transported him to the hospital.  He was admitted and treated for fractures, cuts, and contusions to his legs and ankles.  Employee #1 required multiple surgeries. "
working at height,"At approximately 10:30 a.m. on April 4, 2017, an employee was installing Standing Seam Roofing Panels. The employee fell from the roof and struck his head on the concrete floor. The employee suffered from blunt force trauma to the body and head and was killed. "
handling heavy/sharp object/material,"At 9:10 a.m. on April 4, 2017, Employee #1, employed by a heating and air conditioning contractor, was working at a multiemployer construction site.  He was installing decking in the HVAC area of the rafters to increase the area's safety for workers.  Employee #1 fell through an opening in the decking and struck the cement floor.  Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for head trauma and multiple fractures. "
machinery and equipment,"At 7:20 a.m. on April 4, 2017, Employee #1 and Coworkers #1 and #2, employed by a construction company, were working at a multiemployer construction project for a manufacturing plant.  They were tasked with rigging structural steel open web girders and placing them by crane on the structure.  The girders measured 50 feet long and weighed 6,000 pounds.  Employee #1, a journeyman ironworker, and Coworker #1, an apprentice ironworker, were rigging the girders, and Coworker #2 was operating the crane.  The girders were staged in an upright position in the laydown area.  Employee #1 rigged a girder and signaled Coworker #2 to hoist it.  As the girder was hoisted, it caught the bottom lift of the girder positioned next to it.  The displaced girder toppled over and struck Employee #1.  Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for fractures to his pelvis. "
machinery and equipment,"At approximately 6:00 p.m. on April 4, 2017, an employee was hooking a water pump to a sling. The crane boom or load line contacted an overhead power line. The employee was electrocuted. "
handling heavy/sharp object/material,"At 6:45 a.m. on April 4, 2017, an employee was feeding hardwood flooring onto an end matcher.  As the employee was putting a piece of hardwood flooring onto the end matcher, the left ring finger went inside of a round hole on the end matcher table. The plug for the hole was missing. Lugs were moving along the end matcher table moving the flooring off the end matcher and onto a conveyor belt. The employee's ring finger was caught between the hole and the lug and the finger was amputated at about the middle joint. ger was amputated at about the middle joint."
working at height,"At 4:00 p.m. on April 4, 2017, Employee #1, employed by an industrial painting company, was engaged in painting a bridge.  He was working from an aerial lift.  Employee #1 made contact with overhead electrical power lines and received an electrical shock.  Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for first and third degree burns to his arm, chest, and back. "
working at height,"At 3:00 p.m. on April 4, 2017, Employee #1, employed by a construction company, was working on the roof of a commercial building.  He was applying tape above metal flashing when he fell from the roof to the concrete surface below, a fall height of 20 feet.  Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for a fractured toe, a sprained right arm, and injured ribs. "
working at height,"At 3:00 p.m. on April 4, 2017, Employee #1, employed by a home improvements contractor, was working at a private residence.  He was dismantling an existing patio in preparation for replacing it with a new patio.  Employee #1 climbed onto the top of the patio cover to cut it into smaller pieces for removal.  As he worked, he stepped back and his foot went through an already cut section of the cover.  Employee #1 fell through the opening and down to the ground, a fall height of approximately 8 feet.  Emergency services were called, and Employee #1 was transported to the hospital.  He was treated for injuries to his head, back and neck and then discharged. "
preexisting medical condition,"At approximately 2:00 p.m. on April 4, 2017, an employee got into an aerial lift to help install a gutter downspout.  The employee collapsed, became unresponsive and died due to apparent medical condition. "
machinery and equipment,"At 1:15 a.m. on April 4, 2017, an employee working in a nutritional supplements manufacturing plant was performing machine cleaning duties. The employee was cleaning the inside of a 2 inch pneumatic butterfly valve to remove any remaining meat product. The employee connected house air to the valve to keep the valve open while cleaning the inside of the valve. There was miscommunication with a coworker and the air was disconnected. The employee and coworker were standing within 2 feet of each other. When the air source was disconnected, the valve closed and pinched the tip of the employees right index finger. The employee pulled the finger out of the valve. The employee was taken by EMS to a hospital. The employee's right index finger tip was amputated. The employees were working on an Alfa Laval Centrifuge machine which was locked out at the time of the accident. A lack of energy restraint (lockout) on the air source to the butterfly valve contributed to the accident. "
machinery and equipment,"On April 3, 2017, an employee fell to the ground while walking. He was impaled by a screwdriver resulting in puncture of aorta. The employee was taken to the Presbyterian hospital where he died the following day.		 "
machinery and equipment,"At 12:00 p.m. on April 3, 2017, Employees #1 and #2, employed by a construction contractor, were engaged in trench excavation work related to a commercial building construction project.  Employee #1 was taking his lunch break while standing inside the 2- to 3-foot excavation, which had just been dug next to an existing concrete block wall.  Employee #2 was outside the trench near Employee #1.  The concrete block wall's footing had been exposed and weakened by the digging.  The wall collapsed, completely burying Employee #1 and trapping Employee #2's left foot.  Emergency services were called. Employee #1, when freed from the collapse, and found to have fatal head and chest injuries.  Employee #2's foot was freed from the collapsed wall.  He was transported to the hospital, admitted, and treated for fractures to his foot. "
machinery and equipment,"At approximately 12:00 p.m. on April 3, 2017, Employee #1 had parked the frontend loader he had been operating close to the trench that had just been dug next to the existing concrete block wall. Employee #2, a foreman, who had been checking the depth of the trench, was standing outside the trench near Employee #1. They were getting ready to take their lunch break. The existing concrete block wall's footing had been exposed by the excavation that had just been dug.  Employee #2 saw the wall begin to move and yelled at the two men to lookout. Theexisting concrete block wall fell over and trapped Employee #1 underneath it.The wall also trapped Employee# 2's left foot. Employee# 2's foot was freed by other workers that came to his aid. Employee #1 remained trapped under the wall until he was recovered by responding members of Heartland Fire & Rescue.  Employee #2 received a fractured left ankle and other injuries to his left leg and was hospitalized at Sharp Memorial Hospital.  Employee #1 succumbed to his injuries prior to being freed from under the collapsed wall."
machinery and equipment,"At 12:00 p.m. on April 3, 2017, Employee #1, employed by a water-related construction company, was engaged in lifting operations.  He was operating a boom truck crane to lift marine packing material from the water and place it on land.  The crane tipped over.  Employee #1 was struck in the chest. Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for fractured ribs and bruised shoulders.  During the subsequent investigation, it was determined that the crane had been loaded with excessive weight. "
machinery and equipment,"At 12:30 p.m. on April 3, 2017, an employee was removing material that had become caught in a slitter machine. The employee accidentally stepped on the foot pedal which activated the machine. The employee's hand was caught in the slitter rollers. The employee's left arm and hand were fractured. "
machinery and equipment,"At 11:45 a.m. on April 3, 2017, an employee was operating an electric pallet jack. The employee was caught between the electric pallet jack handle and a building column. The employee sustained contusions and compression injuries to the chest. "
machinery and equipment,"At 11:12 p.m. on April 3, 2017, an employee was running regular production operations on the Sencorp thermoforming line no. 12, model no. 2500 that was adjacent to Sencorp thermoforming line no. 13, model no. 2500 that was operated by a coworker. At approximately 11:12 p.m. the employee was watching about 20 to 25 Omron trays being produced and speaking with the coworker at line no. 12 trim press station after the coworker started the initial production run following machine setup. At that time, there was a production-related problem. The employee noticed that plastic sheet material came out of the in-feed chain and bad parts were being produced. The employee and co-worker walked over to the in-feed station and the employee got on a relatively small work platform at the side of the horizontal in-feed table. Plastic sheet opposite the employee buckled and was sagging. The employee reached out to place his right hand on the buckled plastic that was about 4 to 6 inches away from an unguarded pinch point. The employee's right foot slipped off the work platform and the right hand entered the pinch point between the horizontal in-feed pin chain (equipped with vertical spikes for piercing plastic sheets) and the vertical idler wheel  at the same time the machine indexed forward. The employee's right hand middle finger was amputated at the first knuckle. The employee walked away from the in-feed station to seek first aid. Co-workers responded. First responders were requested. The employee's amputated fingertip was recovered. The employee was transported by ambulance to local emergency room at Delnor hospital in Geneva, IL, but the fingertip was not reattached. "
handling heavy/sharp object/material,"At 11:55 a.m. on April 3, 2017, an employee was assisting others in placing a decommissioned metal dip tank into a recycling roll away dumpster. The tank started to topple and the employee reached in to the roll away to steady the piece when his finger was cut by the 2"" lip of the tank. The employee's left ring finger tip pad was amputated. "
others,"At approximately 10:20 p.m. on April 3, 2017, an employee and two coworkers were in the process of removing traffic control cones/barrels. The employee was parked alone in a pickup truck on/near shoulder of an on ramp. Two coworkers were behind the truck removing cones/barrels to the side of the road.  All of a sudden, the employee started moving in reverse at high rate of speed, crossed the on ramp and the closed lane and into oncoming traffic in the open lane resulting in a wreck which killed the employee.  A possible medical condition may have initiated the accident. "
machinery and equipment,"At 10:30 a.m. on April 3, 2017, an employee was slicing a pork tenderloin on a meat cutting band saw (Biro, Model 1433, Serial # 6538).  The employee finished the cut, reached into the box containing the unfrozen meat, and placed one onto the cutting surface of the band saw. The band saw was not turned off between cuts. The employees left hand slipped off the cold wet meat and contacted the cutting blade. The employee's left ring finger tip was amputated. The employee was trained to use the band saw. The employer had rules for turning off the saw between cuts. Failure to follow rules may have caused or contributed to the accident. "
handling heavy/sharp object/material,"At 10:30 a.m. on April 3, 2017, an employee was leveling out the dust in a large box that sits below a Y process line dust collector. The employee opened the gate and used a hand to level off the dust. The employee's finger was caught by the rotating airlock inside the dust collector. The employee's finger was partially amputated. "
